[1] data=5.738382, mean=5.738382, var=0.000000
[423] data=0.686694, mean=2.837385, var=5.574103
[424] data=4.352941, mean=2.840959, var=5.546160
[425] data=4.906735, mean=2.845820, var=5.515616
[426] data=5.005984, mean=2.850891, var=5.484845
[427] data=6.356295, mean=2.859100, var=5.454054
[428] data=1.909848, mean=2.856882, var=5.456030
[429] data=5.217146, mean=2.862384, var=5.424948
[430] data=2.133979, mean=2.860690, var=5.423212
[431] data=2.500108, mean=2.859853, var=5.415694
[432] data=3.647969, mean=2.861678, var=5.394202
[433] data=3.772801, mean=2.863782, var=5.371665
[434] data=2.327156, mean=2.862545, var=5.366998
[435] data=2.583838, mean=2.861905, var=5.358489
[436] data=1.953031, mean=2.859820, var=5.359962
[437] data=0.784587, mean=2.855071, var=5.384544
[438] data=2.913713, mean=2.855205, var=5.371497
[439] data=5.630153, mean=2.861526, var=5.340791
[440] data=0.486042, mean=2.856127, var=5.372177
[441] data=1.463785, mean=2.852970, var=5.382324
[442] data=0.412777, mean=2.847449, var=5.414917
[443] data=2.764689, mean=2.847263, var=5.403768
[444] data=5.943670, mean=2.854236, var=5.373560
[445] data=2.813775, mean=2.854146, var=5.362005
[446] data=5.265661, mean=2.859553, var=5.332237
[447] data=2.312078, mean=2.858328, var=5.327949
[448] data=4.483434, mean=2.861955, var=5.301280
[449] data=0.487877, mean=2.856668, var=5.332101
[450] data=7.372738, mean=2.866703, var=5.308290
[451] data=1.787915, mean=2.864311, var=5.312743
[452] data=0.767692, mean=2.859673, var=5.337126
[453] data=1.252572, mean=2.856125, var=5.351221
[454] data=0.975085, mean=2.851982, var=5.370757
[455] data=6.644476, mean=2.860317, var=5.343091
[456] data=4.624347, mean=2.864186, var=5.316135
[457] data=-1.818042, mean=2.853940, var=5.410699
[458] data=4.955558, mean=2.858529, var=5.382409
[459] data=6.091125, mean=2.865571, var=5.353262
[460] data=5.173655, mean=2.870589, var=5.324524
[461] data=1.207854, mean=2.866982, var=5.339562
[462] data=4.153371, mean=2.869767, var=5.315675
[463] data=3.659749, mean=2.871473, var=5.295785
[464] data=2.400921, mean=2.870459, var=5.290646
[465] data=3.084161, mean=2.870918, var=5.276739
[466] data=3.406103, mean=2.872067, var=5.259462
[467] data=4.226643, mean=2.874967, var=5.235522
[468] data=3.261860, mean=2.875794, var=5.219920
[469] data=3.693121, mean=2.877537, var=5.200228
[470] data=6.566342, mean=2.885385, var=5.173016
[471] data=4.555782, mean=2.888932, var=5.147552
[472] data=5.643911, mean=2.894769, var=5.119078
[473] data=3.224836, mean=2.895466, var=5.104461
[474] data=3.413405, mean=2.896559, var=5.087955
[475] data=2.939744, mean=2.896650, var=5.076723
[476] data=3.834115, mean=2.898619, var=5.056534
[477] data=2.235317, mean=2.897229, var=5.054880
[478] data=7.061550, mean=2.905941, var=5.030163
[479] data=3.260236, mean=2.906680, var=5.015642
[480] data=4.186048, mean=2.909346, var=4.993158
[481] data=6.265242, mean=2.916323, var=4.965666
[482] data=6.231402, mean=2.923201, var=4.938121
[483] data=3.663626, mean=2.924733, var=4.920102
[484] data=3.153914, mean=2.925207, var=4.907286
[485] data=1.605532, mean=2.922486, var=4.916597
[486] data=3.689202, mean=2.924064, var=4.898502
[487] data=4.224467, mean=2.926734, var=4.876350
[488] data=1.697820, mean=2.924216, var=4.884120
[489] data=4.413950, mean=2.927262, var=4.860908
[490] data=2.929674, mean=2.927267, var=4.850959
[491] data=-1.678995, mean=2.917886, var=4.938816
[492] data=-0.068469, mean=2.911816, var=4.982109
[493] data=5.053264, mean=2.916159, var=4.956074
[494] data=-1.067005, mean=2.908096, var=5.024865
[495] data=7.426115, mean=2.917224, var=5.002913
[496] data=4.857035, mean=2.921135, var=4.977656
[497] data=1.284384, mean=2.917841, var=4.992172
[498] data=5.292989, mean=2.922611, var=4.965710
[499] data=4.439428, mean=2.925650, var=4.942654
[500] data=2.242027, mean=2.924283, var=4.941668
[501] data=1.016366, mean=2.920475, var=4.961225
[502] data=6.703264, mean=2.928010, var=4.935895
[503] data=5.549760, mean=2.933223, var=4.909291
[504] data=3.393074, mean=2.934135, var=4.894637
[505] data=6.103386, mean=2.940411, var=4.868073
[506] data=1.297945, mean=2.937165, var=4.882777
[507] data=2.846492, mean=2.936986, var=4.874209
[508] data=3.143418, mean=2.937392, var=4.862320
[509] data=1.970876, mean=2.935493, var=4.865707
[510] data=0.481313, mean=2.930681, var=4.896071
[511] data=3.160208, mean=2.931131, var=4.883970
[512] data=4.058850, mean=2.933333, var=4.864043
[513] data=-0.580443, mean=2.926484, var=4.918562
[514] data=1.740540, mean=2.924176, var=4.925171
[515] data=2.803177, mean=2.923941, var=4.917004
[516] data=2.370614, mean=2.922869, var=4.914313
[517] data=3.244594, mean=2.923491, var=4.901383
[518] data=4.074085, mean=2.925713, var=4.881530
[519] data=3.734423, mean=2.927271, var=4.864297
[520] data=6.297521, mean=2.933752, var=4.838903
[521] data=4.109608, mean=2.936009, var=4.819067
[522] data=3.939318, mean=2.937931, var=4.800513
[523] data=4.905375, mean=2.941693, var=4.776688
[524] data=4.797369, mean=2.945234, var=4.753363
[525] data=3.374841, mean=2.946053, var=4.739857
[526] data=6.711641, mean=2.953211, var=4.715681
[527] data=1.170956, mean=2.949830, var=4.732636
[528] data=1.259766, mean=2.946629, var=4.747875
[529] data=2.711458, mean=2.946184, var=4.741614
[530] data=1.961144, mean=2.944326, var=4.745401
[531] data=2.839093, mean=2.944127, var=4.737648
[532] data=0.682688, mean=2.939877, var=4.763255
[533] data=0.390110, mean=2.935093, var=4.794492
[534] data=6.263663, mean=2.941326, var=4.769731
[535] data=1.561592, mean=2.938747, var=4.779475
[536] data=1.983427, mean=2.936965, var=4.782691
[537] data=2.558514, mean=2.936260, var=4.778174
[538] data=-0.182996, mean=2.930462, var=4.821232
[539] data=1.985326, mean=2.928709, var=4.824178
[540] data=5.489829, mean=2.933451, var=4.799668
[541] data=6.011207, mean=2.939140, var=4.774988
[542] data=-0.044809, mean=2.933635, var=4.814788
[543] data=3.344004, mean=2.934391, var=4.801813
[544] data=4.868392, mean=2.937946, var=4.779049
[545] data=0.335449, mean=2.933171, var=4.810617
[546] data=5.911361, mean=2.938625, var=4.786111
[547] data=1.676725, mean=2.936318, var=4.793771
[548] data=0.680372, mean=2.932202, var=4.818364
[549] data=2.174229, mean=2.930821, var=4.818697
[550] data=3.362836, mean=2.931606, var=4.805686
[551] data=2.427864, mean=2.930692, var=4.802764
[552] data=4.575728, mean=2.933672, var=4.781544
[553] data=3.683345, mean=2.935028, var=4.765985
[554] data=4.686220, mean=2.938189, var=4.744409
[555] data=2.976333, mean=2.938258, var=4.735461
[556] data=6.999395, mean=2.945562, var=4.713732
